feature,importance
has_valid_virtual_snapshot,0.32105675
has_firm_aum,0.1745481
pit_moves_3yr,0.059584554
industry_tenure_months,0.054673426
num_prior_firms,0.04441602
is_personal_email_missing,0.03890835
current_firm_tenure_months,0.038608097
firm_stability_percentile,0.027565198
pit_avg_prior_tenure_months,0.027506739
firm_stability_tier,0.027370075
firm_aum_pit,0.023959527
is_fresh_start,0.023250565
firm_net_change_12mo,0.022443304
pit_restlessness_ratio,0.021718249
firm_arrivals_12mo,0.02162707
is_linkedin_missing,0.020450745
log_firm_aum,0.019400295
flight_risk_score,0.016577912
firm_departures_12mo,0.016335052
is_gender_missing,0.0
