feature,importance
has_valid_virtual_snapshot,0.15371929
is_personal_email_missing,0.10902765
pit_moves_3yr,0.06987188
current_firm_tenure_months,0.06943925
pit_avg_prior_tenure_months,0.06373206
firm_stability_percentile,0.051694047
firm_net_change_12mo,0.051586322
firm_aum_pit,0.050351407
is_linkedin_missing,0.047347106
firm_arrivals_12mo,0.046524107
num_prior_firms,0.043825455
firm_departures_12mo,0.04289994
pit_restlessness_ratio,0.042770475
industry_tenure_months,0.04171673
flight_risk_score,0.038038637
log_firm_aum,0.036741853
firm_stability_tier,0.022375021
has_firm_aum,0.018338645
is_gender_missing,0.0
is_fresh_start,0.0
