feature,importance
has_valid_virtual_snapshot,0.24346343
has_firm_aum,0.16517146
pit_mobility_tier_Stable,0.06890822
industry_tenure_months,0.055134945
is_personal_email_missing,0.04679599
pit_moves_3yr,0.04148861
num_prior_firms,0.0413411
has_prior_moves,0.038251225
pit_avg_prior_tenure_months,0.03046155
current_firm_tenure_months,0.030094797
pit_mobility_tier_Highly_Mobile,0.029245
firm_net_change_12mo,0.027790034
firm_stability_percentile,0.02440004
log_firm_aum,0.0240156
firm_aum_pit,0.022356268
pit_mobility_tier_Mobile,0.02061069
firm_arrivals_12mo,0.018995453
pit_restlessness_ratio,0.017894851
firm_departures_12mo,0.0167559
is_fresh_start,0.013558548
flight_risk_score,0.012783106
flight_risk_tier,0.010483166
is_bleeding_firm,0.0
is_flight_risk,0.0
