lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QDn000007DONDMA4,2271915,2024-12-05,0,21,2543,,801.8571428571429,269,269,1,,1.0,Distant (> 2yr)
00QDn000009u4ZEMAY,5472664,2024-10-30,0,21,1545,,1202.2857142857142,1834,1834,1,,1.0,Distant (> 2yr)
00QDn00000Bo6WnMAJ,3157302,2024-10-23,0,24,-315,387,1811.2380952380952,387,387,9,0.21,1.0,Very Recent (< 6mo)
00QVS0000041iGz2AI,5115574,2024-03-19,0,29,2870,,354.9655172413793,223,223,0,,1.0,Distant (> 2yr)
00QVS0000041iS12AI,1135429,2024-06-27,0,31,-378,2668,931.8275862068966,2668,1356,0,2.86,1.97,Very Recent (< 6mo)
00QVS0000041iS52AI,2289905,2024-06-21,0,23,3460,,546.9565217391305,343,343,1,,1.0,Distant (> 2yr)
00QVS0000041iSH2AY,4786481,2024-06-27,0,37,2382,,602.5405405405406,564,846,0,,0.67,Distant (> 2yr)
00QVS0000041iSJ2AY,1322510,2024-06-27,0,49,2089,,1070.530612244898,481,481,0,,1.0,Distant (> 2yr)
00QVS0000041iTj2AI,1094370,2024-02-27,0,22,1177,,1022.318181818182,1330,216,0,,6.16,Distant (> 2yr)
00QVS0000041iVg2AI,1778245,2024-02-27,0,28,2505,,815.3214285714287,314,1884,0,,0.17,Distant (> 2yr)
00QVS0000041iVy2AI,5584370,2024-02-27,0,22,12,,809.2727272727273,1464,209,2,,7.0,Very Recent (< 6mo)
00QVS0000041iWd2AI,4743534,2024-02-28,0,24,2798,,603.7083333333333,1383,1383,0,,1.0,Distant (> 2yr)
00QVS000004nw872AA,5501116,2024-06-28,0,27,-293,638,1281.96,638,1439,20,0.5,0.44,Very Recent (< 6mo)
00QVS000005SP7i2AG,3222090,2024-04-02,0,22,1554,,996.8181818181818,333,558,1,,0.6,Distant (> 2yr)
00QVS000005SPFM2A4,5470617,2024-02-27,0,21,2741,,655.6190476190476,486,486,0,,1.0,Distant (> 2yr)
00QVS000005i6Oa2AI,2815798,2024-04-10,0,21,560,,4836.380952380953,6102,6102,17,,1.0,Moderate (1-2yr)
00QVS000005zkt22AA,2680207,2024-04-17,0,23,1798,2253,1125.909090909091,276,281,0,2.0,0.98,Distant (> 2yr)
00QVS000005znCB2AY,2878061,2024-04-17,0,21,4048,,797.2857142857142,805,805,0,,1.0,Distant (> 2yr)
00QVS000005znIE2AY,2692608,2024-05-01,0,21,1429,,1181.4761904761906,1244,1244,0,,1.0,Distant (> 2yr)
00QVS000005znIZ2AY,2898766,2024-05-01,0,25,-128,1066,828.9565217391304,1066,789,1,1.29,1.35,Very Recent (< 6mo)
00QVS000005zoWh2AI,2408935,2024-04-24,0,25,156,,780.0799999999998,1172,0,2,,,Very Recent (< 6mo)
00QVS000006YI9o2AG,2582410,2024-05-08,0,23,1748,,1042.7826086956522,1317,1317,0,,1.0,Distant (> 2yr)
00QVS000006YIAG2A4,2740157,2024-05-08,0,21,1680,,858.4761904761904,876,876,0,,1.0,Distant (> 2yr)
00QVS000006lge42AA,4275580,2024-05-15,0,22,1127,,908.7272727272726,1063,1063,1,,1.0,Distant (> 2yr)
00QVS000006lgeO2AQ,4947327,2024-05-15,0,43,3148,,829.2325581395346,1971,775,0,,2.54,Distant (> 2yr)
00QVS000006lgeq2AA,5520530,2024-05-15,0,22,1367,,716.7272727272727,2188,2188,0,,1.0,Distant (> 2yr)
00QVS000006suR42AI,5713988,2024-05-13,0,22,1074,,828.6818181818182,508,511,3,,0.99,Distant (> 2yr)
00QVS000006suR52AI,1847685,2024-05-14,0,21,1002,,1216.0952380952383,1435,1435,8,,1.0,Distant (> 2yr)
00QVS000006suR62AI,1444889,2024-05-13,0,23,1001,,2289.565217391304,3248,3248,9,,1.0,Distant (> 2yr)
00QVS000007BW0a2AG,2789654,2024-06-02,0,31,4097,,503.1935483870967,91,115,0,,0.79,Distant (> 2yr)
00QVS000007BW212AG,2719482,2024-06-04,0,21,1924,,955.2380952380953,1150,1150,0,,1.0,Distant (> 2yr)
00QVS000007BW2E2AW,2993804,2024-05-31,0,24,1901,,748.0833333333334,510,510,0,,1.0,Distant (> 2yr)
00QVS000007BW732AG,2960249,2024-05-23,0,23,1630,,722.2608695652173,402,403,0,,1.0,Distant (> 2yr)
00QVS000007BW782AG,2628505,2024-05-24,0,25,2586,,1022.3199999999999,410,411,0,,1.0,Distant (> 2yr)
00QVS000007BW7G2AW,4309056,2024-05-23,0,21,2185,,1707.190476190476,3085,3085,0,,1.0,Distant (> 2yr)
00QVS000007BW7K2AW,4504588,2024-05-22,0,22,2757,,709.5,1344,1344,0,,1.0,Distant (> 2yr)
00QVS000007BW7M2AW,4614180,2024-05-23,0,23,2331,,2458.652173913043,4081,4081,0,,1.0,Distant (> 2yr)
00QVS000007BW8e2AG,4457477,2024-05-23,0,45,2620,,741.4222222222222,1313,1313,0,,1.0,Distant (> 2yr)
00QVS000007BW8t2AG,4268832,2024-05-28,0,21,935,1160,983.3499999999998,583,583,2,1.18,1.0,Distant (> 2yr)
00QVS000007BW982AG,2760619,2024-05-23,0,22,-463,2752,995.6842105263158,2752,2752,0,2.76,1.0,Very Recent (< 6mo)
00QVS000007BW9F2AW,4079963,2024-05-23,0,24,874,,664.4999999999999,294,56,2,,5.25,Distant (> 2yr)
00QVS000007BWHQ2A4,2726187,2024-05-23,0,23,1968,1539,991.9999999999998,664,1805,0,1.55,0.37,Distant (> 2yr)
00QVS000007GQHd2AO,4825674,2024-05-30,0,149,654,,745.281879194631,432,432,8,,1.0,Moderate (1-2yr)
00QVS000007azia2AA,3053010,2024-06-07,0,24,1451,,1469.25,2659,2659,0,,1.0,Distant (> 2yr)
00QVS000007b7ls2AA,5504933,2024-06-05,0,36,-344,2963,774.5,2962,2962,0,3.83,1.0,Very Recent (< 6mo)
00QVS0000084Kl82AE,2953101,2024-06-28,0,23,-321,3802,600.2,3802,3802,0,6.33,1.0,Very Recent (< 6mo)
00QVS0000086fBx2AI,4367585,2024-06-19,1,34,449,,423.0294117647059,117,117,6,,1.0,Moderate (1-2yr)
00QVS00000872Nm2AI,3196973,2024-06-24,0,22,1307,,3194.7272727272725,4292,4292,0,,1.0,Distant (> 2yr)
