YEAR,MONTH,unique_firms,total_rows,firms_with_aum,aum_coverage_pct
2024,1,39229,39229,36213,92.31
2024,2,39300,39300,36302,92.37
2024,3,39425,39425,36451,92.46
2024,4,39515,39515,36538,92.47
2024,5,39600,39600,36629,92.5
2024,6,39776,39776,36802,92.52
2024,7,39837,39837,36869,92.55
2024,8,39971,39971,37009,92.59
2024,9,40117,40117,37169,92.65
2024,10,40265,40265,37317,92.68
2024,11,40333,40333,37392,92.71
2024,12,40387,40387,37453,92.74
2025,1,39734,39734,36806,92.63
2025,2,40200,40200,37260,92.69
2025,3,40050,40050,37178,92.83
2025,4,40141,40141,37271,92.85
2025,5,40222,40222,37353,92.87
2025,6,40395,40395,37524,92.89
2025,7,40477,40477,37607,92.91
2025,8,40725,40725,37863,92.97
2025,9,40795,40795,37938,93.0
2025,10,40869,40869,38019,93.03
2025,11,45349,45349,42504,93.73
