period,tier,n_leads,n_converted,conv_rate,lift
H1_2024,TIER_1_PRIME_MOVER,67,15,22.39,5.86
H1_2024,TIER_2_MODERATE_BLEEDER,113,12,10.62,2.78
H1_2024,TIER_3_EXPERIENCED_MOVER,174,29,16.67,4.36
H1_2024,TIER_4_HEAVY_BLEEDER,562,50,8.9,2.33
H1_2024,STANDARD,13812,457,3.31,0.87
Q1Q2_2024,TIER_1_PRIME_MOVER,36,6,16.67,4.65
Q1Q2_2024,TIER_2_MODERATE_BLEEDER,81,6,7.41,2.07
Q1Q2_2024,TIER_3_EXPERIENCED_MOVER,93,13,13.98,3.9
Q1Q2_2024,TIER_4_HEAVY_BLEEDER,203,16,7.88,2.2
Q1Q2_2024,STANDARD,5219,161,3.08,0.86
Q2Q3_2024,TIER_1_PRIME_MOVER,21,4,19.05,5.25
Q2Q3_2024,TIER_2_MODERATE_BLEEDER,45,5,11.11,3.06
Q2Q3_2024,TIER_3_EXPERIENCED_MOVER,72,13,18.06,4.98
Q2Q3_2024,TIER_4_HEAVY_BLEEDER,316,31,9.81,2.7
Q2Q3_2024,STANDARD,7318,229,3.13,0.86
Full_2024,TIER_1_PRIME_MOVER,48,10,20.83,4.7
Full_2024,TIER_2_MODERATE_BLEEDER,43,8,18.6,4.2
Full_2024,TIER_3_EXPERIENCED_MOVER,75,10,13.33,3.01
Full_2024,TIER_4_HEAVY_BLEEDER,252,24,9.52,2.15
Full_2024,STANDARD,7521,300,3.99,0.9
