uncalibrated_score,calibrated_probability,bin_lower,bin_upper
0.02072769,0.0,0.016130866,0.025324512
0.029921334,0.008928572,0.025324512,0.034518156
0.039114982,0.008928572,0.034518156,0.043711804
0.048308626,0.015873017,0.043711804,0.052905448
0.05750227,0.015873017,0.052905448,0.06209909
0.06669591,0.026132405,0.06209909,0.071292736
0.07588956,0.026132405,0.071292736,0.08048638
0.0850832,0.026132405,0.08048638,0.08968002
0.094276845,0.026132405,0.08968002,0.09887367
0.10347049,0.026132405,0.09887367,0.10806731
0.11266413,0.026132405,0.10806731,0.117260955
0.12185778,0.026132405,0.117260955,0.1264546
0.13105142,0.026132405,0.1264546,0.13564825
0.14024508,0.026132405,0.13564825,0.1448419
0.14943871,0.026132405,0.1448419,0.15403554
0.15863237,0.026132405,0.15403554,0.16322918
0.167826,0.026132405,0.16322918,0.17242283
0.17701966,0.026132405,0.17242283,0.18161647
0.18621328,0.026132405,0.18161647,0.19081011
0.19540694,0.03324595,0.19081011,0.20000376
0.20460057,0.036923077,0.20000376,0.2091974
0.21379423,0.036923077,0.2091974,0.21839105
0.22298786,0.036923077,0.21839105,0.22758469
0.23218152,0.036923077,0.22758469,0.23677835
0.24137518,0.036923077,0.23677835,0.245972
0.2505688,0.036923077,0.245972,0.25516564
0.25976247,0.036923077,0.25516564,0.2643593
0.26895612,0.036923077,0.2643593,0.27355292
0.27814972,0.036923077,0.27355292,0.28274655
0.28734338,0.036923077,0.28274655,0.2919402
0.29653704,0.036923077,0.2919402,0.30113384
0.30573067,0.036923077,0.30113384,0.3103275
0.31492433,0.036923077,0.3103275,0.31952116
0.32411796,0.04347826,0.31952116,0.3287148
0.33331162,0.04347826,0.3287148,0.33790845
0.34250528,0.05882353,0.33790845,0.34710208
0.3516989,0.065789476,0.34710208,0.35629573
0.36089253,0.065789476,0.35629573,0.36548936
0.3700862,0.065789476,0.36548936,0.37468302
0.37927985,0.065789476,0.37468302,0.38387665
0.38847348,0.065789476,0.38387665,0.3930703
0.3976671,0.065789476,0.3930703,0.40226394
0.40686077,0.065789476,0.40226394,0.4114576
0.41605443,0.065789476,0.4114576,0.42065123
0.42524806,0.065789476,0.42065123,0.4298449
0.4344417,0.065789476,0.4298449,0.43903852
0.44363534,0.065789476,0.43903852,0.44823217
0.452829,0.065789476,0.44823217,0.45742583
0.46202266,0.08955224,0.45742583,0.46661946
0.4712163,0.08955224,0.46661946,0.47581312
0.48040992,0.08955224,0.47581312,0.48500675
0.48960358,0.08955224,0.48500675,0.4942004
0.49879724,0.08955224,0.4942004,0.50339407
0.5079909,0.08955224,0.50339407,0.5125877
0.5171845,0.08955224,0.5125877,0.5217813
0.52637815,0.08955224,0.5217813,0.530975
0.5355718,0.08955224,0.530975,0.54016864
0.5447655,0.08955224,0.54016864,0.54936224
0.5539591,0.08955224,0.54936224,0.5585559
0.56315273,0.08955224,0.5585559,0.56774956
0.5723464,0.08955224,0.56774956,0.5769432
0.58154,0.08955224,0.5769432,0.5861368
0.59073365,0.08955224,0.5861368,0.5953305
0.5999273,0.08955224,0.5953305,0.60452414
0.60912097,0.15044248,0.60452414,0.6137178
0.6183146,0.15044248,0.6137178,0.62291145
0.6275083,0.15044248,0.62291145,0.63210505
0.6367019,0.15044248,0.63210505,0.6412987
0.64589554,0.15044248,0.6412987,0.65049237
0.6550892,0.15044248,0.65049237,0.659686
0.6642828,0.15044248,0.659686,0.6688796
0.67347646,0.15044248,0.6688796,0.6780733
0.6826701,0.15044248,0.6780733,0.68726695
0.6918638,0.15044248,0.68726695,0.6964606
0.70105743,0.15044248,0.6964606,0.7056542
0.71025103,0.15044248,0.7056542,0.71484786
0.7194447,0.15044248,0.71484786,0.7240415
0.72863835,0.15044248,0.7240415,0.7332352
0.73783195,0.15044248,0.7332352,0.7424288
0.7470256,0.15044248,0.7424288,0.75162244
0.75621927,0.15044248,0.75162244,0.7608161
0.7654129,0.15044248,0.7608161,0.77000976
0.7746066,0.15044248,0.77000976,0.7792034
0.78380024,0.15044248,0.7792034,0.788397
0.79299384,0.15044248,0.788397,0.7975907
0.8021875,0.15044248,0.7975907,0.80678433
0.81138116,0.15044248,0.80678433,0.815978
0.82057476,0.15044248,0.815978,0.8251716
0.8297684,0.15044248,0.8251716,0.83436525
0.8389621,0.15044248,0.83436525,0.8435589
0.84815574,0.15044248,0.8435589,0.85275257
0.8573494,0.15044248,0.85275257,0.86194617
0.866543,0.15044248,0.86194617,0.8711398
0.87573665,0.15044248,0.8711398,0.8803335
0.8849303,0.15044248,0.8803335,0.88952714
0.894124,0.15044248,0.88952714,0.8987208
0.9033176,0.15044248,0.8987208,0.9079144
0.9125112,0.15044248,0.9079144,0.91710806
0.9217049,0.15044248,0.91710806,0.9263017
0.93089855,0.24963665,0.9263017,0.9354953
