feature,iv,iv_category,univariate_auc,predictive_power
current_firm_tenure_months,0.7812831344600916,Suspicious,0.7197230795193078,High
days_in_gap,0.47756386986955246,Strong,0.6826783799951753,High
pit_moves_3yr,0.162111898202744,Medium,0.5907945223854603,High
pit_mobility_tier_Stable,0.14913450342007037,Medium,0.5857984005053997,High
firm_aum_pit,0.11581654320467091,Medium,0.5555982851894763,High
aum_growth_since_jan2024_pct,0.10293817746051316,Medium,0.5018771290445763,High
firm_rep_count_at_contact,0.09390135167489924,Low,0.5203979913826768,Medium
pit_mobility_tier_Mobile,0.07351727749067342,Low,0.5377767825559244,Medium
pit_mobility_tier_Highly Mobile,0.07214680728014358,Low,0.5395673705697753,Medium
firm_net_change_12mo,0.07065570672803329,Low,0.5242082307010798,Medium
industry_tenure_months,0.05176906207207732,Low,0.5178918172210161,Medium
num_prior_firms,0.04309601258207654,Low,0.5564290790844392,High
firm_stability_score,0.0035932518227731513,Weak,0.5013110966154886,Weak
pit_mobility_tier_Average,0.0035059923836027753,Weak,0.5084542473796999,Weak
